     Wavelength 	    Spectrum #1 	 
       388.0582 	        0.15455 	 
       389.1424 	        0.15527 	 
       390.2273 	        0.15598 	 
        391.313 	        0.15667 	 
       392.3994 	        0.15738 	 
       393.4865 	        0.15812 	 
       394.5744 	         0.1589 	 
        395.663 	        0.15973 	 
       396.7523 	        0.16057 	 
       397.8424 	        0.16136 	 
       398.9332 	        0.16208 	 
       400.0247 	         0.1627 	 
       401.1169 	        0.16321 	 
       402.2098 	        0.16363 	 
       403.3034 	        0.16397 	 
       404.3978 	        0.16427 	 
       405.4929 	        0.16453 	 
       406.5886 	        0.16475 	 
       407.6851 	        0.16493 	 
       408.7823 	        0.16507 	 
       409.8802 	        0.16515 	 
       410.9788 	         0.1652 	 
        412.078 	        0.16521 	 
        413.178 	        0.16518 	 
       414.2787 	        0.16512 	 
       415.3801 	        0.16504 	 
       416.4821 	        0.16493 	 
       417.5849 	        0.16482 	 
       418.6883 	         0.1647 	 
       419.7924 	        0.16457 	 
       420.8972 	        0.16444 	 
       422.0027 	        0.16431 	 
       423.1088 	        0.16419 	 
       424.2157 	        0.16407 	 
       425.3232 	        0.16396 	 
       426.4313 	        0.16386 	 
       427.5402 	        0.16377 	 
       428.6497 	        0.16369 	 
       429.7599 	        0.16362 	 
       430.8707 	        0.16356 	 
       431.9822 	        0.16352 	 
       433.0944 	        0.16349 	 
       434.2072 	        0.16347 	 
       435.3207 	        0.16345 	 
       436.4349 	        0.16343 	 
       437.5497 	        0.16341 	 
       438.6651 	         0.1634 	 
       439.7812 	        0.16341 	 
       440.8979 	        0.16345 	 
       442.0153 	         0.1635 	 
       443.1333 	        0.16356 	 
        444.252 	        0.16365 	 
       445.3713 	        0.16374 	 
       446.4913 	        0.16385 	 
       447.6118 	        0.16398 	 
        448.733 	        0.16412 	 
       449.8549 	        0.16426 	 
       450.9773 	        0.16442 	 
       452.1004 	        0.16459 	 
       453.2242 	        0.16477 	 
       454.3485 	        0.16497 	 
       455.4735 	        0.16519 	 
        456.599 	        0.16542 	 
       457.7252 	        0.16565 	 
       458.8521 	        0.16589 	 
       459.9795 	        0.16612 	 
       461.1075 	        0.16634 	 
       462.2362 	        0.16656 	 
       463.3654 	        0.16676 	 
       464.4953 	        0.16696 	 
       465.6257 	        0.16714 	 
       466.7568 	        0.16733 	 
       467.8885 	        0.16751 	 
       469.0207 	        0.16771 	 
       470.1536 	        0.16791 	 
        471.287 	        0.16812 	 
       472.4211 	        0.16834 	 
       473.5557 	        0.16857 	 
       474.6909 	        0.16882 	 
       475.8267 	        0.16908 	 
       476.9631 	        0.16937 	 
       478.1001 	        0.16966 	 
       479.2376 	        0.16998 	 
       480.3757 	         0.1703 	 
       481.5144 	        0.17065 	 
       482.6537 	          0.171 	 
       483.7935 	        0.17137 	 
       484.9339 	        0.17175 	 
       486.0749 	        0.17218 	 
       487.2164 	        0.17263 	 
       488.3585 	        0.17309 	 
       489.5012 	        0.17356 	 
       490.6444 	        0.17402 	 
       491.7882 	        0.17447 	 
       492.9326 	        0.17492 	 
       494.0774 	        0.17538 	 
       495.2229 	        0.17585 	 
       496.3689 	        0.17632 	 
       497.5154 	         0.1768 	 
       498.6625 	         0.1773 	 
       499.8101 	        0.17782 	 
       500.9583 	        0.17837 	 
        502.107 	        0.17896 	 
       503.2563 	        0.17957 	 
        504.406 	        0.18021 	 
       505.5564 	        0.18085 	 
       506.7072 	        0.18151 	 
       507.8586 	        0.18219 	 
       509.0105 	        0.18289 	 
       510.1629 	        0.18362 	 
       511.3159 	        0.18437 	 
       512.4694 	        0.18514 	 
       513.6233 	        0.18595 	 
       514.7779 	        0.18678 	 
       515.9329 	        0.18764 	 
       517.0884 	        0.18853 	 
       518.2445 	        0.18943 	 
        519.401 	        0.19033 	 
       520.5581 	        0.19121 	 
       521.7157 	        0.19205 	 
       522.8738 	        0.19286 	 
       524.0324 	        0.19362 	 
       525.1914 	        0.19434 	 
        526.351 	        0.19503 	 
       527.5111 	        0.19567 	 
       528.6717 	        0.19627 	 
       529.8327 	        0.19681 	 
       530.9943 	        0.19729 	 
       532.1563 	        0.19771 	 
       533.3189 	        0.19808 	 
       534.4819 	         0.1984 	 
       535.6454 	        0.19868 	 
       536.8093 	         0.1989 	 
       537.9738 	        0.19908 	 
       539.1387 	         0.1992 	 
       540.3041 	        0.19929 	 
         541.47 	        0.19933 	 
       542.6363 	        0.19934 	 
       543.8031 	         0.1993 	 
       544.9704 	        0.19923 	 
       546.1382 	        0.19912 	 
       547.3064 	        0.19897 	 
        548.475 	         0.1988 	 
       549.6441 	        0.19861 	 
       550.8137 	        0.19839 	 
       551.9838 	        0.19815 	 
       553.1542 	         0.1979 	 
       554.3252 	        0.19763 	 
       555.4966 	        0.19734 	 
       556.6684 	        0.19704 	 
       557.8407 	        0.19672 	 
       559.0134 	        0.19641 	 
       560.1865 	        0.19609 	 
       561.3601 	        0.19579 	 
       562.5342 	        0.19551 	 
       563.7086 	        0.19526 	 
       564.8835 	        0.19505 	 
       566.0589 	        0.19489 	 
       567.2346 	        0.19477 	 
       568.4108 	        0.19471 	 
       569.5874 	        0.19471 	 
       570.7644 	        0.19477 	 
       571.9419 	        0.19489 	 
       573.1198 	        0.19507 	 
        574.298 	        0.19528 	 
       575.4767 	        0.19552 	 
       576.6559 	        0.19578 	 
       577.8354 	        0.19604 	 
       579.0153 	        0.19628 	 
       580.1956 	        0.19651 	 
       581.3764 	        0.19671 	 
       582.5575 	        0.19688 	 
       583.7391 	        0.19701 	 
        584.921 	        0.19711 	 
       586.1034 	        0.19718 	 
       587.2861 	        0.19722 	 
       588.4692 	        0.19723 	 
       589.6528 	         0.1972 	 
       590.8367 	        0.19713 	 
        592.021 	          0.197 	 
       593.2056 	        0.19681 	 
       594.3907 	        0.19657 	 
       595.5762 	         0.1963 	 
        596.762 	          0.196 	 
       597.9482 	        0.19568 	 
       599.1348 	        0.19536 	 
       600.3217 	        0.19504 	 
        601.509 	        0.19474 	 
       602.6967 	        0.19447 	 
       603.8848 	        0.19422 	 
       605.0732 	        0.19401 	 
        606.262 	        0.19382 	 
       607.4511 	        0.19368 	 
       608.6406 	         0.1936 	 
       609.8305 	        0.19359 	 
       611.0207 	        0.19367 	 
       612.2113 	        0.19384 	 
       613.4022 	        0.19408 	 
       614.5935 	        0.19435 	 
       615.7851 	        0.19463 	 
        616.977 	         0.1949 	 
       618.1693 	        0.19517 	 
        619.362 	        0.19542 	 
        620.555 	        0.19569 	 
       621.7483 	        0.19597 	 
        622.942 	        0.19628 	 
       624.1359 	        0.19662 	 
       625.3303 	        0.19697 	 
       626.5249 	        0.19731 	 
       627.7199 	        0.19763 	 
       628.9152 	        0.19789 	 
       630.1108 	        0.19809 	 
       631.3068 	        0.19825 	 
        632.503 	        0.19837 	 
       633.6996 	        0.19845 	 
       634.8965 	        0.19851 	 
       636.0938 	        0.19855 	 
       637.2913 	        0.19858 	 
       638.4891 	        0.19858 	 
       639.6873 	        0.19855 	 
       640.8857 	        0.19851 	 
       642.0845 	        0.19846 	 
       643.2835 	         0.1984 	 
       644.4829 	        0.19835 	 
       645.6825 	         0.1983 	 
       646.8825 	        0.19825 	 
       648.0827 	        0.19821 	 
       649.2832 	        0.19817 	 
       650.4841 	        0.19815 	 
       651.6852 	        0.19816 	 
       652.8866 	        0.19819 	 
       654.0882 	        0.19825 	 
       655.2902 	        0.19837 	 
       656.4924 	        0.19853 	 
        657.695 	        0.19874 	 
       658.8977 	        0.19901 	 
       660.1008 	        0.19935 	 
       661.3042 	        0.19974 	 
       662.5078 	        0.20021 	 
       663.7116 	        0.20076 	 
       664.9158 	         0.2014 	 
       666.1202 	        0.20214 	 
       667.3249 	        0.20299 	 
       668.5298 	        0.20396 	 
        669.735 	        0.20509 	 
       670.9404 	        0.20636 	 
       672.1461 	        0.20779 	 
       673.3521 	         0.2094 	 
       674.5583 	        0.21117 	 
       675.7647 	        0.21314 	 
       676.9714 	        0.21532 	 
       678.1783 	        0.21771 	 
       679.3855 	        0.22032 	 
       680.5929 	        0.22316 	 
       681.8006 	        0.22622 	 
       683.0085 	        0.22952 	 
       684.2166 	        0.23309 	 
        685.425 	        0.23696 	 
       686.6335 	        0.24113 	 
       687.8424 	        0.24556 	 
       689.0514 	        0.25017 	 
       690.2607 	        0.25494 	 
       691.4702 	         0.2599 	 
       692.6799 	        0.26504 	 
       693.8898 	        0.27035 	 
       695.0999 	        0.27582 	 
       696.3103 	        0.28143 	 
       697.5209 	        0.28717 	 
       698.7317 	        0.29306 	 
       699.9426 	        0.29908 	 
       701.1538 	        0.30519 	 
       702.3652 	        0.31134 	 
       703.5768 	        0.31751 	 
       704.7886 	        0.32366 	 
       706.0006 	        0.32981 	 
       707.2128 	        0.33594 	 
       708.4252 	        0.34203 	 
       709.6378 	        0.34807 	 
       710.8506 	        0.35407 	 
       712.0636 	        0.35999 	 
       713.2767 	        0.36586 	 
       714.4901 	        0.37168 	 
       715.7036 	        0.37749 	 
       716.9173 	         0.3833 	 
       718.1311 	        0.38902 	 
       719.3452 	        0.39453 	 
       720.5594 	        0.39978 	 
       721.7738 	        0.40484 	 
       722.9884 	         0.4098 	 
       724.2031 	         0.4147 	 
        725.418 	        0.41948 	 
       726.6331 	         0.4241 	 
       727.8483 	        0.42853 	 
       729.0637 	        0.43278 	 
       730.2793 	        0.43685 	 
        731.495 	        0.44072 	 
       732.7109 	        0.44442 	 
       733.9269 	        0.44798 	 
       735.1431 	        0.45143 	 
       736.3594 	        0.45479 	 
       737.5758 	        0.45802 	 
       738.7925 	        0.46115 	 
       740.0092 	        0.46415 	 
